year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,4364.91,482625.0,0.0,482625.0
2004,,4364.91,542157.0,0.0,542157.0
2005,,4364.91,496027.0,0.0,496027.0
2006,,4364.91,436776.0,0.0,436776.0
2007,,4364.91,477515.0,0.0,477515.0
2008,,4364.91,460497.0,0.0,460497.0
2009,,4364.91,476556.0,0.0,476556.0
2010,,4364.91,459051.0,0.0,459051.0
2011,,4364.91,493854.0,0.0,493854.0
2012,,4364.91,543040.0,0.0,543040.0
2013,,4364.91,537849.0,0.0,537849.0
2014,,4364.91,571300.0,0.0,571300.0
2015,,4364.91,558813.0,0.0,558813.0
2016,start of forecast,4364.91,531000.0,3973.0,527027.0
2017,,4364.91,532000.0,3973.0,528027.0
2018,,4364.91,533000.0,3973.0,529027.0
2019,,4364.91,535000.0,3973.0,531027.0
2020,,4364.91,536000.0,3973.0,532027.0
2021,,4364.91,538000.0,3973.0,534027.0
2022,,4364.91,540000.0,3973.0,536027.0
2023,,4364.91,542000.0,3973.0,538027.0
2024,,4364.91,544000.0,3973.0,540027.0
2025,,4364.91,546000.0,3973.0,542027.0
2026,,4364.91,548000.0,3973.0,544027.0
2027,,4364.91,549000.0,3973.0,545027.0
2028,,4364.91,551000.0,3973.0,547027.0
2029,,4364.91,553000.0,3973.0,549027.0
2030,,4364.91,555000.0,3973.0,551027.0
2031,,4364.91,556000.0,3973.0,552027.0
2032,,4364.91,558000.0,3973.0,554027.0
2033,,4364.91,560000.0,3973.0,556027.0
2034,,4364.91,561000.0,3973.0,557027.0
2035,,4364.91,563000.0,3973.0,559027.0
2036,,4364.91,564000.0,3973.0,560027.0
2037,,4364.91,566000.0,3973.0,562027.0
2038,,4364.91,567000.0,3973.0,563027.0
2039,,4364.91,569000.0,3973.0,565027.0
2040,,4364.91,570000.0,3973.0,566027.0
