year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2013,,3.46,4.23
2014,,3.57,4.34
2016,start of forecast,1.53,3.08
2017,,1.88,3.43
2018,,2.14,3.69
2019,,2.51,4.06
2020,,2.69,4.24
2021,,2.81,4.36
2022,,2.91,4.46
2023,,2.97,4.52
2024,,3.02,4.57
2025,,3.09,4.64
2026,,3.17,4.72
2027,,3.23,4.78
2028,,3.29,4.84
2029,,3.36,4.91
2030,,3.41,4.96
2031,,3.49,5.04
2032,,3.57,5.12
2033,,3.65,5.2
2034,,3.74,5.29
2035,,3.79,5.34
2036,,3.88,5.43
2037,,3.94,5.49
2038,,4.03,5.58
2039,,4.09,5.64
2040,,4.19,5.74
