year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,15929.8091179,10354.3759266
2018,16026.490776,10417.2190044
2019,16114.1235828,10474.1803288
2020,16240.4351914,10556.2828744
2021,16324.6825188,10611.0436372
2022,16401.7492139,10661.136989
2023,16471.9128403,10706.7433462
2024,16541.898986,10752.2343409
2025,16615.3173166,10799.9562558
2026,16692.732301,10850.2759956
2027,16809.02225,10925.8644625
2028,16877.8060634,10970.5739412
2029,16960.1558144,11024.1012793
2030,17043.2341706,11078.1022109
2031,17125.2102778,11131.3866806
