year,Base case diesel consumed,Fort yukon heat recovery
2018,477331.0,332331.0
2019,478143.0,333143.0
2020,478954.0,333954.0
2021,478955.0,333955.0
2022,478956.0,333956.0
2023,479766.0,334766.0
2024,479767.0,334767.0
2025,479768.0,334768.0
2026,480581.0,335581.0
2027,481392.0,336392.0
2028,482203.0,337203.0
2029,482205.0,337205.0
2030,483017.0,338017.0
2031,483828.0,338828.0
2032,483830.0,338830.0
2033,484641.0,339641.0
2034,484642.0,339642.0
2035,484643.0,339643.0
2036,485454.0,340454.0
2037,485455.0,340455.0
