year,Base case cost,Modeled biomass for heat (cordwood)
2017,2635234.21731,2655223.70494
2018,2826177.6589,2810619.8308
2019,3089182.56216,3027464.36587
2020,3214160.76463,3128616.16748
2021,3295589.82542,3192458.44952
2022,3357860.98621,3240314.79933
2023,3406718.66789,3277927.13281
2024,3445107.12868,3305938.44498
2025,3483495.74947,3334049.45554
2026,3542262.68353,3380337.16786
2027,3591565.676,3418788.41037
2028,3631370.58847,3449366.81986
2029,3679606.15005,3486167.59111
2030,3714783.37331,3513063.52114
2031,3774241.68578,3560495.51456
2032,3827478.58737,3601790.40936
2033,3882358.33984,3645576.76358
2034,3940523.39063,3691196.27794
2035,3974456.53142,3716493.76578
2036,4034507.31389,3764920.4876
