year,Base case cost,Fort yukon heat recovery
2018,2826177.6589,2771281.2437
2019,3089182.56216,2937139.62076
2020,3214160.76463,3007463.01242
2021,3295589.82542,3046268.62519
2022,3357860.98621,3072137.59067
2023,3406718.66789,3090804.45659
2024,3445107.12868,3100853.8394
2025,3483495.74947,3111295.70446
2026,3542262.68353,3138149.0099
2027,3591565.676,3158812.52119
2028,3631370.58847,3173243.33106
2029,3679606.15005,3192111.60483
2030,3714783.37331,3204069.99246
2031,3774241.68578,3233399.75443
2032,3827478.58737,3256840.41527
2033,3882358.33984,3283698.44832
2034,3940523.39063,3311258.69501
2035,3974456.53142,3322146.51923
2036,4034507.31389,3353654.2191
2037,4068497.47468,3365196.44772
