year,Base case diesel consumed,Modeled solar power
2020,229205.747267,226773.070827
2021,229277.508616,226864.293587
2022,229277.508616,226883.599307
2023,229349.269964,226974.51193
2024,229349.269964,226993.509994
2025,229421.031313,227084.117423
2026,229492.792661,227174.574082
2027,229636.315358,227336.642528
2028,229708.076707,227426.801259
2029,229779.838055,227516.812812
2030,229851.599404,227606.678362
2031,229923.360753,227696.399079
2032,229995.122101,227785.976121
2033,230066.88345,227875.410637
2034,230138.644798,227964.703768
2035,230210.406147,228053.856645
2036,230210.406147,228071.109041
2037,230210.406147,228088.223418
2038,230282.167495,228176.962228
2039,230282.167495,228193.80387
