year,Base case cost,Modeled solar power
2020,1182701.6559,1193326.50496
2021,1222049.12092,1231879.25322
2022,1251855.19704,1261003.57788
2023,1272888.4483,1281465.40352
2024,1291236.3899,1299278.97691
2025,1309994.0888,1317515.13964
2026,1335648.05329,1342590.57351
2027,1357150.62377,1363573.99792
2028,1373654.29871,1379616.52651
2029,1397061.41538,1402505.98415
2030,1411288.82034,1416317.73975
2031,1437021.0047,1441533.4438
2032,1462768.97656,1466776.99799
2033,1486232.06708,1489769.39609
2034,1514312.28277,1517346.65371
2035,1530899.20088,1533550.11288
2036,1556222.34555,1558413.93273
2037,1572337.07398,1574165.0842
2038,1600461.06409,1601829.51321
2039,1621186.45917,1622168.75329
