year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.48
2001,,,2.46
2004,,1.92,2.46
2005,,2.52,3.15
2006,,3.03,4.26
2008,,4.26,6.22
2009,,3.76,5.87
2010,,3.72,5.81
2011,,4.28,5.7
2012,,5.48,5.98
2013,,5.82,6.28
2014,,,6.57
2016,,3.42,4.97
2017,,3.97,5.52
2018,,4.37,5.92
2019,,4.91,6.46
2020,,5.16,6.71
2021,,5.33,6.88
2022,,5.46,7.01
2023,,5.55,7.1
2024,,5.63,7.18
2025,,5.71,7.26
2026,,5.82,7.37
2027,,5.91,7.46
2028,,5.98,7.53
2029,,6.08,7.63
2030,,6.14,7.69
2031,,6.25,7.8
2032,,6.36,7.91
2033,,6.46,8.01
2034,,6.58,8.13
2035,,6.65,8.2
2036,,6.76,8.31
2037,,6.83,8.38
2038,,6.95,8.5
2039,,7.04,8.59
2040,,7.16,8.71
