year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,477329.0,400701.76855
2018,477331.0,400703.76855
2019,478143.0,401515.76855
2020,478954.0,402326.76855
2021,478955.0,402327.76855
2022,478956.0,402328.76855
2023,479766.0,403138.76855
2024,479767.0,403139.76855
2025,479768.0,403140.76855
2026,480581.0,403953.76855
2027,481392.0,404764.76855
2028,482203.0,405575.76855
2029,482205.0,405577.76855
2030,483017.0,406389.76855
2031,483828.0,407200.76855
2032,483830.0,407202.76855
2033,484641.0,408013.76855
2034,484642.0,408014.76855
2035,484643.0,408015.76855
2036,485454.0,408826.76855
