year,Base case cost,Modeled water and wastewater efficiency
2017,135412.20305,123418.538832
2018,144186.154258,128904.984764
2019,156035.144426,136558.977666
2020,161545.426394,139792.001786
2021,165294.411657,141806.836555
2022,168163.808806,143220.307701
2023,170142.626667,144024.199118
2024,171920.213468,144701.188105
2025,173695.530085,145389.847485
2026,176155.847516,146571.373569
2027,178189.448572,147467.139222
2028,179770.620519,148058.409152
2029,182004.067727,149118.180942
2030,183366.999082,149580.634253
2031,185830.039597,150824.609275
