year,Base case diesel consumed,Modeled wind power
2019,229133.985919,193442.687048
2020,229205.747267,193514.448397
2021,229277.508616,193586.209746
2022,229277.508616,193586.209746
2023,229349.269964,193657.971094
2024,229349.269964,193657.971094
2025,229421.031313,193729.732443
2026,229492.792661,193801.493791
2027,229636.315358,193945.016488
2028,229708.076707,194016.777837
2029,229779.838055,194088.539185
2030,229851.599404,194160.300534
2031,229923.360753,194232.061882
2032,229995.122101,194303.823231
2033,230066.88345,194375.58458
2034,230138.644798,194447.345928
2035,230210.406147,194519.107277
2036,230210.406147,194519.107277
2037,230210.406147,194519.107277
2038,230282.167495,194590.868625
