year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,228990.46,10970.24,294058.15,172301.14
2018,229062.22,10971.82,294058.15,172301.14
2019,229133.99,10973.87,294058.15,173110.5
2020,229205.75,10975.92,294058.15,173919.87
2021,229277.51,10977.33,294058.15,173919.87
2022,229277.51,10978.48,294058.15,173919.87
2023,229349.27,10978.91,294058.15,174729.24
2024,229349.27,10980.13,294058.15,174729.24
2025,229421.03,10981.22,294058.15,174729.24
2026,229492.79,10983.54,294058.15,175538.61
2027,229636.32,10986.31,294058.15,176347.98
2028,229708.08,10988.39,294058.15,177157.34
2029,229779.84,10990.22,294058.15,177157.34
2030,229851.6,10992.27,294058.15,177966.71
2031,229923.36,10994.46,294058.15,178776.08
2032,229995.12,10996.04,294058.15,178776.08
2033,230066.88,10997.61,294058.15,179585.45
2034,230138.64,10999.07,294058.15,179585.45
2035,230210.41,11000.39,294058.15,179585.45
2036,230210.41,11001.49,294058.15,180394.81
2037,230210.41,11002.15,294058.15,180394.81
2038,230282.17,11002.89,294058.15,180394.81
2039,230282.17,11003.5,294058.15,180394.81
2040,230282.17,11003.62,294058.15,180394.81
