year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4611.86242444,2997.71057589
2018,4580.25779182,2977.16756469
2019,4538.64237537,2950.11754399
2020,4503.32842041,2927.16347327
2021,4468.89450423,2904.78142775
2022,4430.38938061,2879.75309739
2023,4387.34561461,2851.77464949
2024,4345.8165571,2824.78076211
2025,4296.36577978,2792.63775686
2026,4252.30215576,2763.99640124
2027,4203.14883703,2732.04674407
2028,4160.7603024,2704.49419656
2029,4118.04689363,2676.73048086
2030,4057.47500318,2637.35875207
2031,3999.64603734,2599.76992427
