year,Base case cost,Modeled biomass for heat (cordwood)
2017,954185.14864,1119356.00696
2018,1040099.0373,1188290.55346
2019,1158270.70292,1284433.82093
2020,1216654.31135,1330082.17073
2021,1251767.88745,1356116.82596
2022,1280083.80819,1376447.09949
2023,1295186.59869,1385680.47212
2024,1305848.43747,1390538.4177
2025,1320592.50005,1399542.57605
2026,1341627.71798,1413875.81292
2027,1354735.47628,1420854.89777
2028,1369015.39934,1429578.02477
2029,1381631.56044,1436183.30438
2030,1392356.18741,1441978.44953
2031,1407529.34266,1450740.77544
2032,1427341.4334,1464196.23759
2033,1450085.63438,1480124.45738
2034,1467485.62036,1490760.15203
2035,1480530.52342,1498628.09119
2036,1502556.55368,1513989.60378
