year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,331020.0,274668.867638
2018,329922.0,273570.867638
2019,328815.0,272463.867638
2020,327713.0,271361.867638
2021,326614.0,270262.867638
2022,325509.0,269157.867638
2023,324400.0,268048.867638
2024,322228.0,265876.867638
2025,321112.0,264760.867638
2026,320002.0,263650.867638
2027,317822.0,261470.867638
2028,316714.0,260362.867638
2029,314539.0,258187.867638
2030,313413.0,257061.867638
2031,311224.0,254872.867638
2032,310119.0,253767.867638
2033,309018.0,252666.867638
2034,306841.0,250489.867638
2035,305733.0,249381.867638
2036,304620.0,248268.867638
