year,Base case cost,Modeled biomass for heat (pellet)
2017,954185.14864,1045049.99316
2018,1040099.0373,1114162.02573
2019,1158270.70292,1209933.91851
2020,1216654.31135,1256097.28262
2021,1251767.88745,1282970.66701
2022,1280083.80819,1304208.06062
2023,1295186.59869,1314520.1993
2024,1305848.43747,1320424.42337
2025,1320592.50005,1330443.13407
2026,1341627.71798,1345657.48413
2027,1354735.47628,1353538.65409
2028,1369015.39934,1363185.54723
2029,1381631.56044,1370634.50993
2030,1392356.18741,1377347.6163
2031,1407529.34266,1386846.7005
2032,1427341.4334,1401012.04786
2033,1450085.63438,1417572.68132
2034,1467485.62036,1428815.16146
2035,1480530.52342,1437418.54353
2036,1502556.55368,1453337.37319
