year,Base case cost,Modeled water and wastewater efficiency
2017,20534.2012033,27724.497656
2018,21700.2436355,28164.4748406
2019,23277.5555434,28880.1505613
2020,24000.5668724,29044.1115881
2021,24383.7124895,28992.6065934
2022,24641.7656559,28865.5634967
2023,24680.5174444,28601.0152515
2024,24722.4280812,28345.4001162
2025,24713.5055531,28061.9214833
2026,24819.5083327,27860.8305199
2027,24843.5102155,27611.5254656
2028,24856.7596952,27362.1325462
2029,24906.187313,27142.3226401
2030,24754.217173,26793.9245628
2031,24739.5158526,26541.4949401
