year,Base case diesel consumed,Modeled residential energy efficiency
2017,129818.594676,96820.7110389
2018,128752.851786,95754.9681489
2019,127687.108896,94689.2252589
2020,126621.366006,93623.4823689
2021,125555.623116,92557.7394788
2022,124489.880226,91491.9965888
2023,123424.137336,90426.2536988
2024,121292.651556,88294.7679187
2025,120226.908666,87229.0250287
2026,119161.165776,86163.2821387
2027,117029.679996,84031.7963587
2028,115963.937106,82966.0534686
2029,113832.451326,80834.5676886
2030,112766.708436,79768.8247986
2031,110635.222656,77637.3390185
2032,109569.479766,76571.5961285
2033,108503.736876,75505.8532385
2034,106372.251096,73374.3674585
2035,105306.508206,72308.6245684
2036,104240.765316,71242.8816784
