year,Base case cost,Nelson lagoon wind energy project,Modeled wind power
2019,154680.825754,,
2020,163612.526979,,
2021,170108.309688,,
2022,174541.599986,,
2023,177781.351262,,
2024,180616.133628,,
2025,183393.935444,,
2026,186558.390993,,
2027,190184.796002,,
2028,192116.029645,,
2029,195638.648652,,
2030,197141.51066,,
2031,200628.516823,,
2032,204095.172789,,
2033,207009.320922,,
2034,210819.895208,,
2035,212482.506259,,
2036,215849.446263,,
2037,218023.864754,,
2038,221742.863156,,
