year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,122632.370559,90747.954214
2018,122632.370559,90747.954214
2019,122632.370559,90747.954214
2020,122632.370559,90747.954214
2021,122632.370559,90747.954214
2022,122632.370559,90747.954214
2023,122632.370559,90747.954214
2024,122632.370559,90747.954214
2025,122632.370559,90747.954214
2026,122632.370559,90747.954214
2027,122632.370559,90747.954214
2028,122632.370559,90747.954214
2029,122632.370559,90747.954214
2030,122632.370559,90747.954214
2031,122632.370559,90747.954214
