year,Base case diesel consumed,Modeled residential ashp
2017,4397.02646622,-23419.451121
2018,4397.02646622,-23419.451121
2019,4397.02646622,-23419.451121
2020,4397.02646622,-23419.451121
2021,4397.02646622,-23419.451121
2022,4397.02646622,-23419.451121
2023,4397.02646622,-23419.451121
2024,4397.02646622,-23419.451121
2025,4397.02646622,-23419.451121
2026,4397.02646622,-23419.451121
2027,4397.02646622,-23419.451121
2028,4397.02646622,-23419.451121
2029,4397.02646622,-23419.451121
2030,4601.43229303,-23215.0452941
2031,4601.43229303,-23215.0452941
