year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,21437.17,118316.87,16367.14,12954.41,31414.06,15971.11
2018,23851.64,131667.27,15727.0,15518.02,37638.03,17540.8
2019,27309.13,150782.61,17936.88,19188.38,46549.63,21693.95
2020,28951.97,159885.15,18989.2,20933.3,50793.24,23671.64
2021,30099.7,166256.93,16689.06,22152.88,53763.78,22778.2
2022,30917.56,170808.2,17134.22,23022.4,55885.58,23677.16
2023,31515.14,174145.8,17460.67,23658.27,57441.58,24336.39
2024,32002.7,176876.56,17727.77,24177.4,58714.66,24875.76
2025,32599.85,180214.16,14769.03,24812.78,60270.65,22981.49
2026,33306.5,184158.6,15084.64,25564.32,62109.56,23682.67
2027,33903.34,187496.2,15351.69,26199.3,63665.55,24275.98
2028,34445.33,190530.38,12125.67,26776.0,65080.09,22058.09
2029,35096.87,194171.4,12352.2,27468.91,66777.53,22633.42
2030,35529.2,196598.74,12503.21,27929.15,67909.16,23016.97
2031,36235.61,200543.18,12748.62,28680.13,69748.07,23640.24
2032,,,9290.3,,,21272.52
2033,,,9478.98,,,21859.84
2034,,,9681.13,,,22489.1
2035,,,9802.42,,,22866.66
2036,,,5995.77,,,20139.37
