year,Base case diesel consumed,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,18878.2845563,0.0,0.0,0.0
2022,18878.2845563,0.0,0.0,0.0
2023,18778.4011439,0.0,0.0,0.0
2024,18778.4011439,0.0,0.0,0.0
2025,18778.4011439,0.0,0.0,0.0
2026,18778.4011439,0.0,0.0,0.0
2027,18778.4011439,0.0,0.0,0.0
2028,18778.4011439,0.0,0.0,0.0
2029,18678.5177316,0.0,0.0,0.0
2030,18678.5177316,0.0,0.0,0.0
2031,18678.5177316,0.0,0.0,0.0
2032,18678.5177316,0.0,0.0,0.0
2033,18678.5177316,0.0,0.0,0.0
2034,18678.5177316,0.0,0.0,0.0
2035,18678.5177316,0.0,0.0,0.0
2036,18678.5177316,0.0,0.0,0.0
2037,18578.6343193,0.0,0.0,0.0
2038,18578.6343193,0.0,0.0,0.0
2039,18578.6343193,0.0,0.0,0.0
2040,18578.6343193,0.0,0.0,0.0
2041,18578.6343193,0.0,0.0,0.0
2042,18578.6343193,0.0,0.0,0.0
2043,18578.6343193,0.0,0.0,0.0
2044,18578.6343193,0.0,0.0,0.0
2045,18578.6343193,0.0,0.0,0.0
2046,18578.6343193,0.0,0.0,0.0
2047,18578.6343193,0.0,0.0,0.0
2048,18478.750907,0.0,0.0,0.0
2049,18478.750907,0.0,0.0,0.0
2050,18478.750907,0.0,0.0,0.0
