year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5497.4631859,3573.35107084
2018,5496.44443048,3572.68887981
2019,5495.38391857,3571.99954707
2020,5494.28883004,3571.28773952
2021,5493.18073141,3570.56747541
2022,5492.09336256,3569.86068566
2023,5490.95241478,3569.11906961
2024,5489.81629855,3568.38059406
2025,5488.68309745,3567.64401334
2026,5487.54951846,3566.907187
2027,5486.45038114,3566.19274774
2028,5485.39059802,3565.50388871
2029,5484.34304223,3564.82297745
2030,5483.35338407,3564.17969964
2031,5482.38037992,3563.54724695
