year,Base case cost,Modeled water and wastewater efficiency
2017,34391.5797732,25487.4076306
2018,39369.6596537,28979.5212463
2019,46497.5055769,33979.6567074
2020,49885.2742936,36356.1987806
2021,52252.5808391,38016.9058032
2022,53939.9546631,39200.6505909
2023,55173.4097921,40065.9837538
2024,56180.0952253,40772.2415521
2025,57412.6245164,41636.9236021
2026,58870.8204701,42659.9057091
2027,60102.6317018,43524.0802963
2028,61221.3293441,44308.9045115
2029,62565.7829543,45252.0904118
2030,63458.3561977,45878.2868457
2031,64915.7405083,46900.6845885
