year,Base case cost,Modeled wind power,Nikolski renewable energy wind project
2019,80232.7093641,,
2020,85896.194731,,
2021,89860.6344878,,
2022,92692.3771712,,
2023,94267.5737425,,
2024,95957.6298455,,
2025,98023.2539713,,
2026,100464.44612,,
2027,102530.070246,,
2028,104407.91036,,
2029,106093.980716,,
2030,107588.262134,,
2031,110016.469439,,
2032,112631.461922,,
2033,115246.454404,,
2034,118048.232064,,
2035,119729.29866,,
2036,122531.076319,,
2037,123547.918223,,
2038,126520.499714,,
