year,Base case cost,"Nikolski, sheep creek","Nikolski (unnamed stream, site #2) -- unnamed creek","Nikolski (unnamed stream, site #3) -- unnamed creek"
2021,89860.6344878,383913.214839,1151061.21387,592749.524944
2022,92692.3771712,384064.986223,1149211.05845,592878.547159
2023,94267.5737425,383674.870507,1147352.86308,592471.74872
2024,95957.6298455,383756.94383,1146233.78032,592540.172542
2025,98023.2539713,383857.25567,1144866.0125,592623.801658
2026,100464.44612,383975.806025,1143249.55962,592722.636068
2027,102530.070246,384076.117864,1141881.79181,592806.265184
2028,104407.91036,384167.310446,1140638.36652,592882.291653
2029,106093.980716,383709.403761,1138578.91839,592406.185634
2030,107588.262134,383774.367153,1137576.18748,592459.016136
2031,110016.469439,383879.932665,1135946.74976,592544.865702
2032,112631.461922,383993.618601,1134191.97068,592637.319081
2033,115246.454404,384107.304536,1132437.1916,592729.77246
2034,118048.232064,384229.110896,1130557.07115,592828.829651
2035,119729.29866,384302.194712,1129428.99888,592888.263966
2036,122531.076319,384424.001072,1127548.87844,592987.321158
2037,123547.918223,383832.860196,1125756.58148,592382.530781
2038,126520.499714,383946.805634,1123735.13832,592472.210439
2039,128564.149489,384025.143122,1122345.39615,592533.865204
2040,131722.517324,384146.21015,1120197.6128,592629.149841
2041,131722.517324,384146.21015,1120197.6128,592629.149841
2042,131722.517324,384146.21015,1120197.6128,592629.149841
2043,131722.517324,384146.21015,1120197.6128,592629.149841
2044,131722.517324,384146.21015,1120197.6128,592629.149841
2045,131722.517324,384146.21015,1120197.6128,592629.149841
2046,131722.517324,384146.21015,1120197.6128,592629.149841
2047,131722.517324,384146.21015,1120197.6128,592629.149841
2048,131014.34393,383438.036757,1119489.43941,591920.976448
2049,131014.34393,383438.036757,1119489.43941,591920.976448
2050,131014.34393,383438.036757,1119489.43941,591920.976448
