year,Base case diesel consumed,Modeled diesel efficiency
2019,18878.2845563,17162.0768693
2020,18878.2845563,17162.0768693
2021,18878.2845563,17162.0768693
2022,18878.2845563,17162.0768693
2023,18778.4011439,17071.2737672
2024,18778.4011439,17071.2737672
2025,18778.4011439,17071.2737672
2026,18778.4011439,17071.2737672
2027,18778.4011439,17071.2737672
2028,18778.4011439,17071.2737672
2029,18678.5177316,16980.4706651
2030,18678.5177316,16980.4706651
2031,18678.5177316,16980.4706651
2032,18678.5177316,16980.4706651
2033,18678.5177316,16980.4706651
2034,18678.5177316,16980.4706651
2035,18678.5177316,16980.4706651
2036,18678.5177316,16980.4706651
2037,18578.6343193,16889.667563
2038,18578.6343193,16889.667563
