year,Base case diesel consumed,Modeled residential energy efficiency
2017,30692.3544806,21726.0390274
2018,30692.3544806,21726.0390274
2019,30692.3544806,21726.0390274
2020,29291.9255324,20325.6100793
2021,29291.9255324,20325.6100793
2022,29291.9255324,20325.6100793
2023,27891.4965843,18925.1811311
2024,27891.4965843,18925.1811311
2025,26491.0676361,17524.752183
2026,26491.0676361,17524.752183
2027,25090.638688,16124.3232349
2028,25090.638688,16124.3232349
2029,23690.2097398,14723.8942867
2030,22289.7807917,13323.4653386
2031,22289.7807917,13323.4653386
