year,Base case cost,Modeled residential energy efficiency
2017,209688.413291,199241.506376
2018,218282.272546,204725.501114
2019,230252.290793,212613.406123
2020,225361.153511,205536.798657
2021,229169.10383,207620.989868
2022,232098.296383,209108.49414
2023,223312.841397,199163.115129
2024,224986.331192,199778.819383
2025,215920.790417,189578.012882
2026,218040.075828,190484.266861
2027,208666.440684,179998.882017
2028,210171.879005,180493.580039
2029,200518.158071,169750.53603
2030,190222.581469,158555.783285
2031,192228.66174,159314.601856
