year,Base case diesel consumed,Modeled residential ashp
2017,5888.5738514,-24803.7806598
2018,5888.5738514,-24803.7806598
2019,5888.5738514,-24803.7806598
2020,5619.89034945,-25072.4641618
2021,5619.89034945,-25072.4641618
2022,5619.89034945,-25072.4641618
2023,5351.20684751,-25341.1476637
2024,5351.20684751,-25341.1476637
2025,5082.52334556,-25609.8311657
2026,5082.52334556,-25609.8311657
2027,4813.83984361,-25878.5146676
2028,4813.83984361,-25878.5146676
2029,4545.15634167,-26147.1981696
2030,4276.47283972,-26415.8816715
2031,4276.47283972,-26415.8816715
