year,Base case cost,Modeled non-residential energy efficiency
2017,77586.384438,66414.3561479
2018,79404.5281791,68137.9863791
2019,81936.9426756,70578.1025221
2020,83105.7493662,71656.774103
2021,83949.8875317,72412.8896988
2022,84599.2245821,72976.2672086
2023,85053.7605174,73346.858284
2024,85443.3627476,73654.4831075
2025,85897.8986829,74028.9629819
2026,86417.3683232,74470.2528784
2027,86871.9042584,74848.4414067
2028,87261.5064887,75163.4856182
2029,87716.0424239,75545.2109936
2030,88040.7109491,75798.7754524
2031,88625.1142945,76313.7412363
