year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,30921.42,5303.52,34889.3,59268.91
2018,30921.42,5300.96,34889.3,58291.28
2019,30921.42,5297.47,34889.3,58291.28
2020,30921.42,5293.96,34889.3,57313.66
2021,30921.42,5290.63,34889.3,56336.04
2022,30921.42,5287.01,34889.3,56336.04
2023,30921.42,5283.46,34889.3,55358.41
2024,30921.42,5279.7,34889.3,54380.79
2025,30871.34,5275.92,34889.3,53403.17
2026,30793.19,5272.03,34889.3,53403.17
2027,30715.03,5268.35,34889.3,52425.54
2028,30715.03,5264.78,34889.3,51447.92
2029,30636.88,5259.8,34889.3,50470.3
2030,30558.72,5255.36,34889.3,49492.67
2031,30480.57,5251.66,34889.3,48515.05
2032,30402.41,,,48515.05
2033,30402.41,,,47537.43
2034,30324.26,,,47537.43
2035,30324.26,,,47537.43
2036,30246.1,,,46559.8
