year,Base case diesel consumed,Modeled non-residential ashp
2017,34889.3013696,24422.5109587
2018,34889.3013696,24422.5109587
2019,34889.3013696,24422.5109587
2020,34889.3013696,24422.5109587
2021,34889.3013696,24422.5109587
2022,34889.3013696,24422.5109587
2023,34889.3013696,24422.5109587
2024,34889.3013696,24422.5109587
2025,34889.3013696,24422.5109587
2026,34889.3013696,24422.5109587
2027,34889.3013696,24422.5109587
2028,34889.3013696,24422.5109587
2029,34889.3013696,24422.5109587
2030,34889.3013696,24422.5109587
2031,34889.3013696,24422.5109587
