year,Base case cost,Modeled biomass for heat (cordwood)
2017,113086.525753,123381.582389
2018,123553.225753,130754.056926
2019,137857.715753,140972.83647
2020,144835.515753,145782.564117
2021,149719.975753,149052.647255
2022,153208.875753,151298.840977
2023,155999.995753,153036.904883
2024,158093.335753,154266.655752
2025,160535.565753,155761.83548
2026,163675.575753,157780.242944
2027,166117.805753,159289.813076
2028,168211.145753,160548.352847
2029,171351.155753,162587.593951
2030,173095.605753,163601.562221
2031,176235.615753,165653.89132
2032,,
2033,,
2034,,
2035,,
2036,,
