year,Base case cost,Modeled non-residential energy efficiency
2017,169540.744719,206880.636429
2018,182639.382162,218075.827987
2019,200540.853334,233851.524719
2020,209273.278296,240965.075887
2021,215385.975769,245623.006092
2022,219752.18825,248652.300457
2023,223245.158235,250879.959089
2024,225864.885723,252305.372891
2025,228921.23446,254169.382763
2026,232850.825693,256885.219728
2027,235907.17443,258797.068905
2028,238526.901918,260318.188228
2029,242456.493151,263103.284331
2030,244639.599391,264255.145572
2031,248569.190624,267083.751269
