year,Base case diesel consumed,Modeled diesel efficiency
2019,30921.4156645,28110.3778769
2020,30921.4156645,28110.3778769
2021,30921.4156645,28110.3778769
2022,30921.4156645,28110.3778769
2023,30921.4156645,28110.3778769
2024,30921.4156645,28110.3778769
2025,30871.3441679,28064.8583345
2026,30793.1888662,27993.8080602
2027,30715.0335645,27922.7577859
2028,30715.0335645,27922.7577859
2029,30636.8782628,27851.7075117
2030,30558.7229612,27780.6572374
2031,30480.5676595,27709.6069631
2032,30402.4123578,27638.5566889
2033,30402.4123578,27638.5566889
2034,30324.2570561,27567.5064146
2035,30324.2570561,27567.5064146
2036,30246.1017544,27496.4561404
2037,30246.1017544,27496.4561404
2038,30246.1017544,27496.4561404
