year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,34889.0,25797.3607869
2018,34889.0,25797.3607869
2019,34889.0,25797.3607869
2020,34889.0,25797.3607869
2021,34889.0,25797.3607869
2022,34889.0,25797.3607869
2023,34889.0,25797.3607869
2024,34889.0,25797.3607869
2025,34889.0,25797.3607869
2026,34889.0,25797.3607869
2027,34889.0,25797.3607869
2028,34889.0,25797.3607869
2029,34889.0,25797.3607869
2030,34889.0,25797.3607869
2031,34889.0,25797.3607869
2032,,
2033,,
2034,,
2035,,
2036,,
