year,Base case diesel consumed,Sitkoh creek,Kathleen creek (lake kathleen) -- kethleen creek,Lake florence (florence creek),Kook lake (kook creek),Harley creek (tenakee springs),Indian river hydroelectric project - construction
2018,30921.4156645,,,,,,11209.2770995
2019,30921.4156645,,,,,,11209.2770995
2020,30921.4156645,,,,,,11209.2770995
2021,30921.4156645,0.0,0.0,0.0,0.0,0.0,11209.2770995
2022,30921.4156645,0.0,0.0,0.0,0.0,0.0,11209.2770995
2023,30921.4156645,0.0,0.0,0.0,0.0,0.0,11209.2770995
2024,30921.4156645,0.0,0.0,0.0,0.0,0.0,11209.2770995
2025,30871.3441679,0.0,0.0,0.0,0.0,0.0,11159.2056029
2026,30793.1888662,0.0,0.0,0.0,0.0,0.0,11081.0503012
2027,30715.0335645,0.0,0.0,0.0,0.0,0.0,11002.8949995
2028,30715.0335645,0.0,0.0,0.0,0.0,0.0,11002.8949995
2029,30636.8782628,0.0,0.0,0.0,0.0,0.0,10924.7396978
2030,30558.7229612,0.0,0.0,0.0,0.0,0.0,10846.5843961
2031,30480.5676595,0.0,0.0,0.0,0.0,0.0,10768.4290944
2032,30402.4123578,0.0,0.0,0.0,0.0,0.0,10690.2737927
2033,30402.4123578,0.0,0.0,0.0,0.0,0.0,10690.2737927
2034,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2035,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2036,30246.1017544,0.0,0.0,0.0,0.0,0.0,10533.9631893
2037,30246.1017544,0.0,0.0,0.0,0.0,0.0,10533.9631893
2038,30246.1017544,0.0,0.0,0.0,0.0,0.0,10533.9631893
2039,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2040,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2041,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2042,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2043,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2044,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2045,30167.9464527,0.0,0.0,0.0,0.0,0.0,10455.8078876
2046,30246.1017544,0.0,0.0,0.0,0.0,0.0,10533.9631893
2047,30246.1017544,0.0,0.0,0.0,0.0,0.0,10533.9631893
2048,30246.1017544,0.0,0.0,0.0,0.0,0.0,10533.9631893
2049,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2050,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2051,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2052,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2053,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2054,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2055,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2056,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2057,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2058,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2059,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2060,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2061,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2062,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2063,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2064,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2065,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2066,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2067,30324.2570561,0.0,0.0,0.0,0.0,0.0,10612.118491
2068,30324.2570561,0.0,0.0,0.0,0.0,0.0,
2069,30324.2570561,0.0,0.0,0.0,0.0,0.0,
2070,30324.2570561,0.0,0.0,0.0,0.0,0.0,
