year,annotation,Maximum expected generation hydro [kWh/year],Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation hydro [kWh/year],generation diesel [kWh/year]
2003,,1169000.0,6183.92,445920.0,0.0,445920.0
2004,,1169000.0,6183.92,442400.0,0.0,442400.0
2005,,1169000.0,6183.92,439200.0,0.0,439200.0
2006,,1169000.0,6183.92,435596.0,0.0,435596.0
2007,,1169000.0,6183.92,411463.0,0.0,411463.0
2008,,1169000.0,6183.92,413763.0,0.0,413763.0
2009,,1169000.0,6183.92,428649.0,0.0,428649.0
2010,,1169000.0,6183.92,413647.0,0.0,413647.0
2011,,1169000.0,6183.92,419657.0,0.0,419657.0
2012,,1169000.0,6183.92,420335.0,0.0,420335.0
2013,,1169000.0,6183.92,407033.0,0.0,407033.0
2014,,1169000.0,6183.92,372622.0,0.0,372622.0
2015,,1169000.0,6183.92,407267.0,0.0,407267.0
2016,start of forecast,1169000.0,6183.92,401000.0,5359.33,395640.67
2017,,1169000.0,6183.92,401000.0,5359.33,395640.67
2018,,1169000.0,6183.92,401000.0,5359.33,395640.67
2019,,1169000.0,6183.92,400000.0,4359.33,395640.67
2020,,1169000.0,6183.92,399000.0,3359.33,395640.67
2021,,1169000.0,6183.92,398000.0,2359.33,395640.67
2022,,1169000.0,6183.92,397000.0,1359.33,395640.67
2023,,1169000.0,6183.92,397000.0,1359.33,395640.67
2024,,1169000.0,6183.92,396000.0,359.33,395640.67
2025,,1169000.0,6183.92,395000.0,0.0,395000.0
2026,,1169000.0,6183.92,394000.0,0.0,394000.0
2027,,1169000.0,6183.92,393000.0,0.0,393000.0
2028,,1169000.0,6183.92,393000.0,0.0,393000.0
2029,,1169000.0,6183.92,392000.0,0.0,392000.0
2030,,1169000.0,6183.92,391000.0,0.0,391000.0
2031,,1169000.0,6183.92,390000.0,0.0,390000.0
2032,,1169000.0,6183.92,389000.0,0.0,389000.0
2033,,1169000.0,6183.92,389000.0,0.0,389000.0
2034,,1169000.0,6183.92,388000.0,0.0,388000.0
2035,,1169000.0,6183.92,388000.0,0.0,388000.0
2036,,1169000.0,6183.92,387000.0,0.0,387000.0
2037,,1169000.0,6183.92,387000.0,0.0,387000.0
2038,,1169000.0,6183.92,387000.0,0.0,387000.0
2039,,1169000.0,6183.92,386000.0,0.0,386000.0
2040,,1169000.0,6183.92,386000.0,0.0,386000.0
