year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.92
2001,,,1.46
2003,,1.59,1.72
2004,,2.24,2.63
2005,,3.23,2.87
2008,,4.3,4.11
2009,,3.59,4.47
2012,,4.72,4.93
2013,,4.73,4.93
2014,,4.56,4.7
2016,start of forecast,2.41,2.85
2017,,2.8,3.24
2018,,3.1,3.54
2019,,3.51,3.95
2020,,3.71,4.15
2021,,3.85,4.29
2022,,3.95,4.39
2023,,4.03,4.47
2024,,4.09,4.53
2025,,4.16,4.6
2026,,4.25,4.69
2027,,4.32,4.76
2028,,4.38,4.82
2029,,4.47,4.91
2030,,4.52,4.96
2031,,4.61,5.05
2032,,4.7,5.14
2033,,4.79,5.23
2034,,4.89,5.33
2035,,4.95,5.39
2036,,5.05,5.49
2037,,5.11,5.55
2038,,5.21,5.65
2039,,5.29,5.73
2040,,5.4,5.84
