year,Base case cost,Sitkoh creek,Kathleen creek (lake kathleen) -- kethleen creek,Lake florence (florence creek),Kook lake (kook creek),Harley creek (tenakee springs),Indian river hydroelectric project - construction
2018,95856.3885601,,,,,,
2019,108534.168983,,,,,,
2020,114718.452115,,,,,,
2021,119047.450308,1502112.10966,14954548.2714,3606547.03262,1334315.43964,421487.974036,
2022,122139.591875,1470792.74058,14651546.4226,3530687.78421,1306369.6742,412468.849273,
2023,124613.305128,1440340.20795,14356262.1937,3457009.43207,1279207.09744,403709.646819,
2024,126468.590068,1410737.72065,14068531.0575,3385471.55911,1252812.7572,395205.563328,
2025,128424.791739,1381534.96041,13786937.3669,3315141.74808,1226745.91112,386661.141401,
2026,130871.052681,1352720.63442,13511055.2503,3245833.16551,1200999.61353,378124.238806,
2027,132688.944999,1324698.36474,13242245.4817,3178539.46602,1175968.82563,369818.769813,
2028,134531.847013,1297721.8363,12980353.6954,3113339.83786,1151911.49821,362057.040221,
2029,136946.845835,1270785.53487,12723148.4194,3048595.74684,1127834.12384,354035.055297,
2030,138125.427784,1244757.3363,12473285.1847,2986225.63902,1104588.01979,346297.062388,
2031,140515.41691,1218995.46677,12227807.6007,2924343.65745,1081553.71683,338593.185839,
2032,142891.338082,1193798.24952,11987986.526,2863840.61805,1059020.68584,331040.79285,
2033,145627.555194,1169526.48446,11754063.4181,2805058.23547,1037351.21223,324010.367135,
2034,148285.617004,1145344.05292,11524811.9328,2746988.74497,1015713.22132,316722.964482,
2035,150105.072428,1122399.67774,11302635.4044,2691527.71285,995243.885813,310097.952834,
2036,152742.81386,1099262.24395,11083802.0946,2636002.17886,974534.221095,303094.979864,
2037,154557.579965,1077353.52924,10871814.7208,2583040.63419,954986.608981,296762.886395,
2038,157582.19014,1055618.93057,10663323.2036,2530347.45357,935568.512736,290437.414431,
2039,159588.436735,1034125.00734,10459932.7033,2478890.69668,916332.219981,283907.21428,
2040,162906.910845,1013268.75195,10260570.7004,2428286.14559,897688.948221,277816.070947,
2041,162906.910845,993790.150136,10069710.0568,2381400.12435,880343.604761,272243.927793,
2042,162906.910845,974768.078042,9883322.7093,2335612.9942,863404.792776,266802.381741,
2043,162906.910845,956191.835841,9701303.81607,2290899.0001,846862.984267,261488.371947,
2044,162906.910845,938050.974248,9523550.98996,2247232.99007,830708.874334,256298.909238,
2045,162906.910845,920335.289166,9349964.24639,2204590.40231,814933.376412,251231.07458,
2046,163328.949474,903456.854061,9180867.98053,2163369.28878,799949.655333,246704.05592,
2047,163328.949474,886561.860221,9015322.76171,2122702.1481,784904.968154,241870.992173,
2048,163328.949474,870062.842799,8853657.50895,2082988.14353,770212.890831,237151.203358,
2049,163750.988103,854372.559576,8696203.3227,2044626.97421,756287.197565,232964.073178,
2050,163750.988103,838637.870375,8542027.32291,2006752.74795,742275.740733,228462.931795,
2051,163750.988103,823271.962975,8391464.82333,1969766.19893,728592.677439,224067.285919,
2052,163750.988103,808266.194019,8244431.13223,1933646.52212,715230.310933,219774.66299,
2053,163750.988103,793612.122829,8100843.54382,1898373.40038,702181.124941,215582.648427,
2054,163750.988103,779301.50631,7960621.2883,1863926.99213,689437.779137,211488.884171,
2055,163750.988103,765326.294913,7823685.49236,1830287.92168,676993.105542,207491.067527,
2056,163750.988103,751678.627544,7689959.12926,1797437.26698,664840.103995,203586.949715,
2057,163750.988103,738350.827397,7559366.97796,1765356.54954,652971.938438,199774.334669,
2058,163750.988103,725335.397514,7431835.57969,1734027.72379,641381.932963,196051.077773,
2059,163750.988103,712625.016871,7307293.19959,1703433.16764,630063.568334,192415.08474,
2060,163750.988103,700212.535692,7185669.7807,1673555.6712,619010.477802,188864.31027,
2061,163750.988103,688090.972047,7066896.91076,1644378.4286,608216.444086,185396.757079,
2062,163750.988103,676253.507557,6950907.78002,1615885.02764,597675.39554,182010.474667,
2063,163750.988103,664693.483605,6837637.14418,1588059.44067,587381.402788,178703.558239,
2064,163750.988103,653404.397819,6727021.2899,1560886.01616,577328.675584,175474.147695,
2065,163750.988103,642379.899897,6618997.99388,1534349.46858,567511.5591,172320.426437,
2066,163750.988103,631613.788609,6513506.4935,1508434.87124,557924.531251,169240.62051,
2067,163750.988103,621100.008142,6410487.45103,1483127.6475,548562.199445,166232.997559,
2068,163750.988103,610832.644321,6309882.91653,1458413.5616,539419.297215,163295.865748,
2069,163750.988103,600805.921866,6211636.30108,1434278.71216,530490.681781,160427.572971,
2070,163750.988103,591014.200746,6115692.34095,1410709.52332,521771.330796,157626.505813,
