year,Base case diesel consumed,Modeled non-residential ashp
2017,28307.7744897,-33230.8657053
2018,28307.7744897,-33230.8657053
2019,28307.7744897,-33230.8657053
2020,28307.7744897,-33230.8657053
2021,28307.7744897,-33230.8657053
2022,28307.7744897,-33230.8657053
2023,28307.7744897,-33230.8657053
2024,28307.7744897,-33230.8657053
2025,28307.7744897,-33230.8657053
2026,28307.7744897,-33230.8657053
2027,28307.7744897,-33230.8657053
2028,28307.7744897,-33230.8657053
2029,28307.7744897,-33230.8657053
2030,28307.7744897,-33230.8657053
2031,28307.7744897,-33230.8657053
