year,Base case diesel consumed,Modeled non-residential ashp
2017,1238491.68078,736594.232629
2018,1236978.35564,735080.907488
2019,1227898.4048,726000.956644
2020,1221845.10424,719947.656081
2021,1220331.77909,718434.330941
2022,1221845.10424,719947.656081
2023,1220331.77909,718434.330941
2024,1220331.77909,718434.330941
2025,1218818.45395,716921.0058
2026,1212765.15339,710867.705237
2027,1202171.87741,700274.429252
2028,1188551.95114,686654.502986
2029,1188551.95114,686654.502986
2030,1185525.30086,683627.852705
2031,1179472.0003,677574.552142
