year,Base case diesel consumed,Modeled wind power
2019,1371587.53787,1191861.23154
2020,1370571.2801,1190844.97377
2021,1368770.00016,1189043.69383
2022,1369617.43565,1189891.12932
2023,1369422.18184,1189695.87551
2024,1368923.78735,1189197.48103
2025,1368467.45814,1188741.15181
2026,1366330.63398,1186604.32765
2027,1362623.72585,1182897.41952
2028,1357593.51737,1177867.21104
2029,1357452.79474,1177726.48841
2030,1356546.95382,1176820.64749
2031,1354267.56733,1174541.261
2032,1353228.13435,1173501.82802
2033,1351220.03322,1171493.72689
2034,1350182.7081,1170456.40177
2035,1345060.29591,1165333.98958
2036,1343052.92583,1163326.61951
2037,1341876.40391,1162150.09758
2038,1341184.14701,1161457.84068
