year,Base case cost,Modeled wind power
2019,3593559.34921,3955607.40948
2020,3810188.15868,4141909.33075
2021,3955745.30045,4266616.73688
2022,4067763.78389,4363471.77622
2023,4135654.98916,4421885.82893
2024,4202596.02718,4479349.71439
2025,4283303.14396,4548684.2481
2026,4358594.72239,4612603.24344
2027,4428527.10902,4671163.047
2028,4480058.60732,4713217.39274
2029,4561041.39033,4782827.59267
2030,4612259.64297,4826464.12326
2031,4699308.45863,4900244.92533
2032,4790427.59561,4978096.04872
2033,4877904.31992,5052304.75945
2034,4968672.36581,5129804.79175
2035,5003624.30079,5157175.00468
2036,5103601.11817,5241988.37796
2037,5152805.39101,5283610.92875
2038,5257441.85629,5373083.94992
