year,Base case cost,Modeled water and wastewater efficiency
2017,101230.872545,375806.671606
2018,110280.71662,374500.74585
2019,122621.005897,375501.277698
2020,128699.037342,372595.15788
2021,132839.460605,368589.412677
2022,136400.494311,364363.160491
2023,138561.556276,359379.589169
2024,140690.920175,354524.454847
2025,142777.375508,349786.760042
2026,145377.252312,345524.812648
2027,147665.044768,341198.768398
2028,149642.994408,336806.90143
2029,152158.750935,332897.381928
2030,153547.519361,328384.863676
2031,156272.310614,324866.807425
