year,Base case diesel consumed,Modeled residential ashp
2017,436089.161086,-1535792.26317
2018,439024.018957,-1532857.40529
2019,441749.244123,-1530132.18013
2020,444055.203879,-1527826.22037
2021,445941.898225,-1525939.52603
2022,447828.59257,-1524052.83168
2023,449296.021506,-1522585.40275
2024,450553.817736,-1521327.60651
2025,451392.348557,-1520489.07569
2026,452230.879377,-1519650.54487
2027,452650.144787,-1519231.27946
2028,452859.777492,-1519021.64676
2029,453069.410197,-1518812.01405
2030,453069.410197,-1518812.01405
2031,452859.777492,-1519021.64676
