year,Base case cost,Modeled water and wastewater efficiency
2017,27510.1359478,16658.3416869
2018,29060.7896816,17583.1456721
2019,31149.2026734,18832.7733016
2020,32250.6648811,19487.4277211
2021,33086.4067328,19976.5792705
2022,33832.6513495,20414.3965801
2023,34346.3809394,20713.6432124
2024,34727.4458439,20931.3458509
2025,35212.7874186,21216.0242156
2026,35818.6080664,21566.9837161
2027,36646.674474,22053.8795467
2028,37120.9350804,22330.13456
2029,37737.9377547,22690.0777486
2030,38105.1635244,22902.6943115
2031,38628.1393627,23207.7215352
