year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4182.30891555,2718.50079511
2018,4209.10075041,2735.91548777
2019,4235.18252283,2752.86863984
2020,4259.84965347,2768.90227475
2021,4289.38167139,2788.0980864
2022,4324.74223276,2811.0824513
2023,4345.01876493,2824.26219721
2024,4361.18982023,2834.77338315
2025,4379.14425631,2846.4437666
2026,4405.73869929,2863.73015454
2027,4463.31955451,2901.15771043
2028,4483.75783835,2914.44259493
2029,4511.61202533,2932.54781646
2030,4525.99010442,2941.89356787
2031,4542.27219265,2952.47692522
