year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,54942.6829036,40644.9653487
2018,54942.6829036,40644.9653487
2019,54942.6829036,40644.9653487
2020,54942.6829036,40644.9653487
2021,54942.6829036,40644.9653487
2022,54942.6829036,40644.9653487
2023,54942.6829036,40644.9653487
2024,54942.6829036,40644.9653487
2025,54942.6829036,40644.9653487
2026,54942.6829036,40644.9653487
2027,54942.6829036,40644.9653487
2028,54942.6829036,40644.9653487
2029,54942.6829036,40644.9653487
2030,54942.6829036,40644.9653487
2031,54942.6829036,40644.9653487
