year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,2446497.0,1183014.0,1263483.0
2004,,2595826.0,1236781.0,1359045.0
2005,,2728562.0,1277588.0,1450974.0
2006,,2922237.0,1354276.0,1567961.0
2007,,2903718.0,1358730.0,1544988.0
2008,,2889748.0,1358265.0,1531483.0
2009,,2992779.0,1398256.0,1594523.0
2010,,3002280.0,1419425.0,1582855.0
2011,,2956398.0,1443031.0,1513367.0
2012,,3119416.0,1466661.0,1652755.0
2013,,3058162.0,1434261.0,1623901.0
2014,start of forecast,3070803.0,1474129.0,1596674.0
2015,,3075711.0,1479037.0,1596674.0
2016,,3081823.0,1485149.0,1596674.0
2017,,3087642.0,1490967.0,1596674.0
2018,,3094236.0,1497561.0,1596674.0
2019,,3100655.0,1503981.0,1596674.0
2020,,3106726.0,1510052.0,1596674.0
2021,,3113994.0,1517320.0,1596674.0
2022,,3122697.0,1526023.0,1596674.0
2023,,3127688.0,1531014.0,1596674.0
2024,,3131668.0,1534994.0,1596674.0
2025,,3136087.0,1539413.0,1596674.0
2026,,3142632.0,1545958.0,1596674.0
2027,,3156804.0,1560130.0,1596674.0
2028,,3161835.0,1565160.0,1596674.0
2029,,3168690.0,1572016.0,1596674.0
2030,,3172229.0,1575554.0,1596674.0
2031,,3176236.0,1579562.0,1596674.0
2032,,3184005.0,1587331.0,1596674.0
2033,,3189090.0,1592416.0,1596674.0
2034,,3192241.0,1595567.0,1596674.0
2035,,3194847.0,1598173.0,1596674.0
2036,,3197429.0,1600755.0,1596674.0
2037,,3199631.0,1602957.0,1596674.0
2038,,3201619.0,1604945.0,1596674.0
2039,,3203329.0,1606655.0,1596674.0
2040,,3204820.0,1608146.0,1596674.0
