year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,1171858.0,651722.0,520136.0
2004,,1193879.0,657430.0,536449.0
2005,,1112833.0,626875.0,485958.0
2006,,1194132.0,648462.0,545670.0
2007,,1152294.0,589131.0,563163.0
2008,,1127404.0,588073.0,539331.0
2009,,1163588.0,625106.0,538482.0
2010,,1332460.0,645648.0,686812.0
2011,,1474289.0,653356.0,820933.0
2012,,1360817.0,624084.0,736733.0
2013,,1288607.0,613223.0,675384.0
2014,start of forecast,1370896.0,626546.0,744350.0
2015,,1371790.0,627440.0,744350.0
2016,,1372799.0,628449.0,744350.0
2017,,1373838.0,629488.0,744350.0
2018,,1375009.0,630659.0,744350.0
2019,,1376215.0,631865.0,744350.0
2020,,1377419.0,633069.0,744350.0
2021,,1378373.0,634023.0,744350.0
2022,,1379265.0,634915.0,744350.0
2023,,1380452.0,636102.0,744350.0
2024,,1381271.0,636921.0,744350.0
2025,,1382254.0,637904.0,744350.0
2026,,1383157.0,638807.0,744350.0
2027,,1384003.0,639653.0,744350.0
2028,,1384919.0,640569.0,744350.0
2029,,1385826.0,641476.0,744350.0
2030,,1386843.0,642493.0,744350.0
2031,,1387762.0,643412.0,744350.0
2032,,1388916.0,644566.0,744350.0
2033,,1389826.0,645476.0,744350.0
2034,,1390749.0,646399.0,744350.0
2035,,1391614.0,647264.0,744350.0
2036,,1392546.0,648196.0,744350.0
2037,,1393462.0,649112.0,744350.0
2038,,1394428.0,650078.0,744350.0
2039,,1395921.0,651571.0,744350.0
2040,,1397330.0,652980.0,744350.0
