year,Base case diesel consumed,Modeled solar power
2020,105147.806546,103450.317642
2021,105220.674049,103536.765056
2022,105293.541552,103623.103831
2023,105439.276558,103782.202338
2024,105439.276558,103795.458932
2025,105512.14406,103881.476976
2026,105585.011563,103967.389815
2027,105657.879066,104053.198292
2028,105730.746569,104138.903241
2029,105803.614072,104224.50549
2030,105876.481574,104310.005862
2031,105949.349077,104395.40517
2032,106022.21658,104480.704224
2033,106095.084083,104565.903826
2034,106167.951586,104651.004771
2035,106240.819088,104736.007848
2036,106313.686591,104820.913841
2037,106386.554094,104905.723526
2038,106459.421597,104990.437673
2039,106605.156602,105147.92455
