year,Base case cost,Modeled solar power
2020,339627.415145,349743.303459
2021,353541.464805,363155.84841
2022,363262.718354,372453.275322
2023,371146.253483,379955.69642
2024,376418.217311,384888.260568
2025,383009.082939,391131.539767
2026,391720.392899,399471.110207
2027,399386.782869,406790.343934
2028,404948.759359,412045.098088
2029,413692.13102,420441.286219
2030,418212.102219,424684.737372
2031,426975.876781,433116.665097
2032,435751.310144,441567.921952
2033,444538.402307,450038.344374
2034,454398.832786,459574.282432
2035,460022.746653,464941.329341
2036,469906.494733,474514.81352
2037,475547.8968,479912.313209
2038,485454.962482,489522.748393
2039,492515.823503,496337.532537
