year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,2.39
2001,,,2.02
2004,,2.08,3.0
2005,,3.2,3.0
2010,,6.12,5.57
2011,,6.67,6.25
2012,,5.58,8.09
2013,,6.48,8.09
2014,,,8.06
2016,start of forecast,3.07,4.35
2017,,3.56,4.84
2018,,3.91,5.19
2019,,4.39,5.67
2020,,4.62,5.9
2021,,4.77,6.05
2022,,4.88,6.16
2023,,4.96,6.24
2024,,5.03,6.31
2025,,5.11,6.39
2026,,5.2,6.48
2027,,5.28,6.56
2028,,5.34,6.62
2029,,5.43,6.71
2030,,5.48,6.76
2031,,5.58,6.86
2032,,5.68,6.96
2033,,5.77,7.05
2034,,5.87,7.15
2035,,5.94,7.22
2036,,6.04,7.32
2037,,6.1,7.38
2038,,6.2,7.48
2039,,6.28,7.56
2040,,6.39,7.67
