year,Base case cost,American creek
2021,135350.512664,5706314.13002
2022,138471.803312,5535556.28752
2023,140741.832875,5376064.1129
2024,142728.108742,5222462.18395
2025,145433.568149,5069812.35443
2026,147995.020426,4917177.24716
2027,150721.782663,4770658.84097
2028,152434.530193,4631939.61249
2029,155929.046423,4489083.46378
2030,157831.815197,4359177.30885
2031,161187.436975,4218806.82343
2032,164076.10072,4080650.64103
2033,166675.89809,3947756.56858
2034,169564.561835,3814775.8572
2035,171586.626457,3692223.34246
2036,174989.966574,3564693.01864
2037,177248.066552,3450129.13161
2038,180682.082745,3327336.54683
2039,183013.464457,3211577.56215
2040,186219.114313,3090113.0616
2041,186763.614647,3000411.47307
2042,186763.614647,2912280.52479
2043,187308.114981,2826759.65063
2044,187852.615315,2743255.93292
2045,188397.11565,2661722.09684
2046,188397.11565,2581567.46795
2047,188941.615984,2503835.96657
2048,188941.615984,2427394.55662
2049,189486.116318,2353289.24141
2050,190030.616652,2280933.53338
