year,Base case cost,Modeled non-residential energy efficiency
2017,355979.174115,392917.929908
2018,381211.758002,414983.741041
2019,415816.444476,445822.931345
2020,432397.856745,459889.633028
2021,443211.821268,468611.116645
2022,451142.061918,474675.570197
2023,456909.509664,478754.484063
2024,461956.026441,482191.604503
2025,467723.474187,486330.695113
2026,474211.852901,491171.0591
2027,479979.300646,495367.53882
2028,484304.886455,498247.231131
2029,490793.265169,503170.679897
2030,494397.92001,505431.581432
2031,501607.229692,511079.463787
