year,Base case cost,Modeled wind power,Igiugig wind resource feasibility and conceptual design
2019,123819.716853,,
2020,130700.530936,,
2021,135350.512664,,
2022,138471.803312,,
2023,140741.832875,,
2024,142728.108742,,
2025,145433.568149,,
2026,147995.020426,,
2027,150721.782663,,
2028,152434.530193,,
2029,155929.046423,,
2030,157831.815197,,
2031,161187.436975,,
2032,164076.10072,,
2033,166675.89809,,
2034,169564.561835,,
2035,171586.626457,,
2036,174989.966574,,
2037,177248.066552,,
2038,180682.082745,,
