year,annotation,diesel generation efficiency
2002,,13.57
2003,,13.8
2004,,14.05
2005,,14.18
2006,,14.03
2007,,13.91
2008,,14.18
2009,,14.05
2010,,14.23
2011,,13.86
2012,,13.78
2013,,13.4
2016,start of forecast,13.68
2017,,13.68
2018,,13.68
2019,,13.68
2020,,13.68
2021,,13.68
2022,,13.68
2023,,13.68
2024,,13.68
2025,,13.68
2026,,13.68
2027,,13.68
2028,,13.68
2029,,13.68
2030,,13.68
2031,,13.68
2032,,13.68
2033,,13.68
2034,,13.68
2035,,13.68
2036,,13.68
2037,,13.68
2038,,13.68
2039,,13.68
2040,,13.68
