year,Base case cost,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,544671.816985,839939.723495,
2018,614890.732369,892332.397444,
2019,708824.725824,962269.52743,913739.532318
2020,758987.778407,1000776.96061,948406.12449
2021,797179.604047,1030741.29021,975659.272194
2022,828203.608206,1055594.67233,998479.2679
2023,851597.728135,1074875.04424,1016404.04886
2024,872886.976782,1092736.16953,1033135.51503
2025,897086.782071,1112822.2268,1051865.98135
2026,924523.219929,1135459.29196,1072921.52375
2027,949092.967861,1155915.29187,1092021.93271
2028,971475.959973,1174870.16063,1109847.14235
2029,1000424.33733,1199019.16529,1132414.62424
2030,1021379.46782,1217231.7971,1149723.52875
2031,1050458.71421,1241511.6708,1172421.87968
2032,1081623.82297,1267191.78219,1196294.53649
2033,1110289.99112,1291058.57764,1218579.80917
2034,1141868.17813,1317151.76729,1242865.54422
2035,1165080.98229,1336936.44811,1261520.56591
2036,1197893.28626,1364263.75471,1287040.41793
2037,1222525.90982,,1307115.25901
2038,1255714.00533,,1333010.90256
