year,Base case diesel consumed,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,246457.83574,181266.494141,
2018,248943.616344,183752.274744,
2019,251356.285753,186164.944154,164682.638511
2020,253842.066357,188650.724758,167168.419115
2021,256327.846961,191136.505361,169654.199719
2022,258813.627564,193622.285965,172139.980323
2023,261226.296974,196034.955375,174552.649732
2024,263712.077578,198520.735978,177038.430336
2025,266197.858181,201006.516582,179524.21094
2026,268756.749979,203565.40838,182083.102738
2027,271169.419389,205978.077789,184495.772147
2028,273655.199992,208463.858393,186981.552751
2029,276360.314179,211168.97258,189686.666937
2030,279065.428365,213874.086766,192391.781124
2031,281624.320163,216432.978564,194950.672922
2032,283890.767184,218699.425585,197217.119943
2033,286157.214205,220965.872606,199483.566964
2034,288350.550032,223159.208433,201676.90279
2035,290543.885859,225352.54426,203870.238617
2036,292883.444074,227692.102475,206209.796832
2037,295296.113484,,208622.466242
2038,297562.560505,,210888.913263
