year,Base case diesel consumed,Modeled residential ashp
2017,9579.09963961,-26450.1136653
2018,9579.09963961,-26450.1136653
2019,9579.09963961,-26450.1136653
2020,9579.09963961,-26450.1136653
2021,9579.09963961,-26450.1136653
2022,9579.09963961,-26450.1136653
2023,9850.96387651,-26178.2494284
2024,9850.96387651,-26178.2494284
2025,9850.96387651,-26178.2494284
2026,9850.96387651,-26178.2494284
2027,9850.96387651,-26178.2494284
2028,9850.96387651,-26178.2494284
2029,9850.96387651,-26178.2494284
2030,10122.8281134,-25906.3851915
2031,10122.8281134,-25906.3851915
